"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.886295833E-2,6.043176314E-1,-5.217043680E-1,-1.717447690E0,1.893938176E0
2.883295834E-2,5.109235641E-1,-2.667833072E-1,-2.189766474E0,2.264352763E0
3.880295833E-2,4.853627533E-1,-1.246354482E-1,-1.859575961E0,1.925911148E0
4.877295834E-2,7.767473432E-1,-3.863962895E-1,-1.074736363E0,1.381193968E0
5.874395833E-2,9.270725334E-1,-6.960057735E-1,-5.046211427E-1,1.264329869E0
6.871395832E-2,8.713938841E-1,-8.218489641E-1,-1.687985909E-1,1.209651183E0
7.868395833E-2,8.177512354E-1,-9.065414974E-1,-6.209743023E-2,1.222452723E0
8.865395834E-2,7.801784894E-1,-9.612521401E-1,-8.190955102E-2,1.240722905E0
9.862495834E-2,7.839762560E-1,-9.470615324E-1,-1.552529311E-1,1.239212568E0
1.085949583E-1,8.984688315E-1,-9.068268415E-1,-3.074436754E-1,1.313050942E0
1.185649583E-1,1.090895436E0,-8.649142921E-1,-5.728090328E-1,1.505403525E0
1.285349583E-1,1.060634049E0,-8.730998093E-1,-9.088958788E-1,1.647221776E0
1.385049583E-1,9.892310670E-1,-9.148041978E-1,-1.041019564E0,1.702693912E0
1.484759583E-1,9.255028483E-1,-1.049855876E0,-8.113491189E-1,1.617726885E0
1.584459583E-1,8.388383415E-1,-1.168642354E0,-5.044281846E-1,1.524408905E0
1.684159583E-1,6.981715822E-1,-1.173508407E0,-3.316137260E-1,1.405180844E0
1.783859583E-1,5.076850837E-1,-1.064185647E0,-2.414841592E-1,1.203557159E0
1.883559583E-1,5.019831714E-1,-8.356969249E-1,-1.131810451E-1,9.814206049E-1
1.983269583E-1,7.846723670E-1,-5.712235603E-1,-1.181330520E-1,9.777333467E-1
2.082969583E-1,9.850526467E-1,-4.214629188E-1,-2.154769135E-1,1.092881516E0
2.182669583E-1,1.100579595E0,-3.842433447E-1,-2.927484530E-1,1.201923479E0
2.282369583E-1,1.215289102E0,-4.473587751E-1,-2.715955657E-1,1.323186165E0
2.382069583E-1,1.248329379E0,-5.771959063E-1,-9.430272460E-2,1.378540662E0
2.481779583E-1,1.250053723E0,-5.653146565E-1,1.696446830E-1,1.382387170E0
2.581479583E-1,1.284976218E0,-4.021232530E-1,3.841842878E-1,1.400165904E0
2.681179583E-1,1.422032322E0,-1.811789006E-1,4.591099244E-1,1.505252019E0
2.780879583E-1,1.534707583E0,8.866717815E-3,4.321519214E-1,1.594415650E0
2.880579583E-1,1.618130101E0,2.177263373E-1,3.539249468E-1,1.670632410E0
